input	output	probability	tab.prob	Mon-er	long-more	l-more	i-er	li-more	r-er	OCP-r	cluster-more	finalStress-more
old	er	0.999206873761	60520.0	0	0	0	0	0	0	0	1	1
old	more	0.00079312623926	60520.0	1	0	0	0	0	0	0	0	0
fair	er	0.746212121212	792.0	0	0	0	0	0	0	1	0	1
fair	more	0.253787878788	792.0	1	0	0	0	0	1	0	0	0
brash	er	0.949152542373	59.0	0	0	0	0	0	0	0	0	1
brash	more	0.0508474576271	59.0	1	0	0	0	0	0	0	0	0
queer	er	0.857142857143	21.0	0	0	0	0	0	0	1	0	1
queer	more	0.142857142857	21.0	1	0	0	0	0	1	0	0	0
dead	er	0.322580645161	217.0	0	0	0	0	0	0	0	0	1
dead	more	0.677419354839	217.0	1	0	0	0	0	0	0	0	0
bland	er	0.657894736842	38.0	0	0	0	0	0	0	0	1	1
bland	more	0.342105263158	38.0	1	0	0	0	0	0	0	0	0
bare	er	0.738095238095	42.0	0	0	0	0	0	0	1	0	1
bare	more	0.261904761905	42.0	1	0	0	0	0	1	0	0	0
mature	er	0.00828729281768	724.0	0	0	0	0	0	0	1	0	1
mature	more	0.991712707182	724.0	0	0	0	0	0	1	0	0	0
corrupt	er	0.222222222222	63.0	0	0	0	0	0	0	0	1	1
corrupt	more	0.777777777778	63.0	0	0	0	0	0	0	0	0	0
close	er	0.99720564912	13241.0	0	0	0	0	0	0	0	0	1
close	more	0.00279435087984	13241.0	1	0	0	0	0	0	0	0	0
divine	er	0.868055555556	144.0	0	0	0	0	0	0	0	0	1
divine	more	0.131944444444	144.0	0	0	0	0	0	0	0	0	0
odd	er	0.804347826087	138.0	0	0	0	0	0	0	0	0	1
odd	more	0.195652173913	138.0	1	0	0	0	0	0	0	0	0
rough	er	0.960069444444	576.0	0	0	0	0	0	0	0	0	1
rough	more	0.0399305555556	576.0	1	0	0	0	0	0	0	0	0
blue	er	0.72027972028	286.0	0	0	0	0	0	0	0	0	1
blue	more	0.27972027972	286.0	1	0	0	0	0	0	0	0	0
dense	er	0.868486352357	806.0	0	0	0	0	0	0	0	1	1
dense	more	0.131513647643	806.0	1	0	0	0	0	0	0	0	0
spry	er	0.142857142857	7.0	0	0	0	0	0	0	0	0	1
spry	more	0.857142857143	7.0	1	0	0	0	0	0	0	0	0
broad	er	0.995857497929	12070.0	0	0	0	0	0	0	0	0	1
broad	more	0.00414250207125	12070.0	1	0	0	0	0	0	0	0	0
brief	er	0.96694214876	242.0	0	0	0	0	0	0	0	0	1
brief	more	0.0330578512397	242.0	1	0	0	0	0	0	0	0	0
modest	er	0.00124533001245	803.0	0	0	0	0	0	0	0	1	0
modest	more	0.998754669988	803.0	0	0	0	0	0	0	0	0	0
daft	er	1.0	11.0	0	0	0	0	0	0	0	1	1
daft	more	0.0	11.0	1	0	0	0	0	0	0	0	0
crude	er	0.737588652482	141.0	0	0	0	0	0	0	0	0	1
crude	more	0.262411347518	141.0	1	0	0	0	0	0	0	0	0
new	er	0.932144410613	4598.0	0	0	0	0	0	0	0	0	1
new	more	0.0678555893867	4598.0	1	0	0	0	0	0	0	0	0
plush	er	0.783783783784	37.0	0	0	0	0	0	0	0	0	1
plush	more	0.216216216216	37.0	1	0	0	0	0	0	0	0	0
red	er	0.679841897233	506.0	0	0	0	0	0	0	0	0	1
red	more	0.320158102767	506.0	1	0	0	0	0	0	0	0	0
dirty	er	0.893939393939	264.0	0	0	0	0	0	0	0	0	0
dirty	more	0.106060606061	264.0	0	0	0	1	0	0	0	0	0
loose	er	0.973333333333	675.0	0	0	0	0	0	0	0	0	1
loose	more	0.0266666666667	675.0	1	0	0	0	0	0	0	0	0
bold	er	0.938775510204	882.0	0	0	0	0	0	0	0	1	1
bold	more	0.0612244897959	882.0	1	0	0	0	0	0	0	0	0
posh	er	0.678571428571	28.0	0	0	0	0	0	0	0	0	1
posh	more	0.321428571429	28.0	1	0	0	0	0	0	0	0	0
slight	er	1.0	73.0	0	0	0	0	0	0	0	0	1
slight	more	0.0	73.0	1	0	0	0	0	0	0	0	0
sole	er	0.857142857143	14.0	0	0	1	0	0	0	0	0	1
sole	more	0.142857142857	14.0	1	0	0	0	0	0	0	0	0
weak	er	0.996033994334	3530.0	0	0	0	0	0	0	0	0	1
weak	more	0.00396600566572	3530.0	1	0	0	0	0	0	0	0	0
little	er	0.571428571429	161.0	0	0	1	0	0	0	0	0	0
little	more	0.428571428571	161.0	0	0	0	0	0	0	0	0	0
free	er	0.759475218659	1372.0	0	0	0	0	0	0	0	0	1
free	more	0.240524781341	1372.0	1	0	0	1	0	0	0	0	0
weary	er	0.547619047619	42.0	0	0	0	0	0	0	0	0	0
weary	more	0.452380952381	42.0	0	0	0	1	0	0	0	0	0
quick	er	0.930674846626	1630.0	0	0	0	0	0	0	0	0	1
quick	more	0.0693251533742	1630.0	1	0	0	0	0	0	0	0	0
slow	er	0.996181991728	3143.0	0	0	0	0	0	0	0	0	1
slow	more	0.00381800827235	3143.0	1	0	0	0	0	0	0	0	0
dire	er	0.0486111111111	144.0	0	0	0	0	0	0	1	0	1
dire	more	0.951388888889	144.0	1	0	0	0	0	1	0	0	0
worthy	er	0.00925925925926	108.0	0	0	0	0	0	0	0	0	0
worthy	more	0.990740740741	108.0	0	0	0	1	0	0	0	0	0
strong	er	0.998021481063	17690.0	0	0	0	0	0	0	0	0	1
strong	more	0.00197851893725	17690.0	1	0	0	0	0	0	0	0	0
swift	er	0.937007874016	127.0	0	0	0	0	0	0	0	1	1
swift	more	0.0629921259843	127.0	1	0	0	0	0	0	0	0	0
extreme	er	0.00442477876106	678.0	0	0	0	0	0	0	0	0	1
extreme	more	0.995575221239	678.0	0	0	0	0	0	0	0	0	0
dry	er	0.948640483384	662.0	0	0	0	0	0	0	0	0	1
dry	more	0.0513595166163	662.0	1	0	0	0	0	0	0	0	0
rare	er	0.824817518248	685.0	0	0	0	0	0	0	1	0	1
rare	more	0.175182481752	685.0	1	0	0	0	0	1	0	0	0
nimble	er	0.282608695652	138.0	0	0	1	0	0	0	0	0	0
nimble	more	0.717391304348	138.0	0	0	0	0	0	0	0	0	0
quiet	er	0.939235201676	1909.0	0	0	0	0	0	0	0	0	0
quiet	more	0.0607647983237	1909.0	0	0	0	0	0	0	0	0	0
slender	er	0.0384615384615	52.0	0	0	0	0	0	0	1	0	0
slender	more	0.961538461538	52.0	0	0	0	0	0	1	0	0	0
weird	er	0.914754098361	305.0	0	0	0	0	0	0	0	1	1
weird	more	0.0852459016393	305.0	1	0	0	0	0	0	0	0	0
narrow	er	0.917472598324	1551.0	0	0	0	0	0	0	0	0	0
narrow	more	0.0825274016763	1551.0	0	0	0	0	0	0	0	0	0
damp	er	0.910447761194	67.0	0	0	0	0	0	0	0	1	1
damp	more	0.089552238806	67.0	1	0	0	0	0	0	0	0	0
blind	er	0.724137931034	29.0	0	0	0	0	0	0	0	1	1
blind	more	0.275862068966	29.0	1	0	0	0	0	0	0	0	0
tough	er	0.993911232174	6241.0	0	0	0	0	0	0	0	0	1
tough	more	0.00608876782567	6241.0	1	0	0	0	0	0	0	0	0
stray	er	0.894736842105	38.0	0	0	0	0	0	0	0	0	1
stray	more	0.105263157895	38.0	1	0	0	0	0	0	0	0	0
drunk	er	0.724137931034	116.0	0	0	0	0	0	0	0	1	1
drunk	more	0.275862068966	116.0	1	0	0	0	0	0	0	0	0
simple	er	0.955152162306	3746.0	0	0	1	0	0	0	0	0	0
simple	more	0.0448478376935	3746.0	0	0	0	0	0	0	0	0	0
sweet	er	0.964769647696	1107.0	0	0	0	0	0	0	0	0	1
sweet	more	0.0352303523035	1107.0	1	0	0	0	0	0	0	0	0
dull	er	0.982954545455	176.0	0	0	1	0	0	0	0	0	1
dull	more	0.0170454545455	176.0	1	0	0	0	0	0	0	0	0
sparse	er	0.736842105263	76.0	0	0	0	0	0	0	0	1	1
sparse	more	0.263157894737	76.0	1	0	0	0	0	0	0	0	0
apt	er	0.143307086614	635.0	0	0	0	0	0	0	0	1	1
apt	more	0.856692913386	635.0	1	0	0	0	0	0	0	0	0
snug	er	0.757575757576	33.0	0	0	0	0	0	0	0	0	1
snug	more	0.242424242424	33.0	1	0	0	0	0	0	0	0	0
blank	er	0.416666666667	12.0	0	0	0	0	0	0	0	1	1
blank	more	0.583333333333	12.0	1	0	0	0	0	0	0	0	0
sober	er	0.041958041958	143.0	0	0	0	0	0	0	1	0	0
sober	more	0.958041958042	143.0	0	0	0	0	0	1	0	0	0
thick	er	0.995437956204	2192.0	0	0	0	0	0	0	0	0	1
thick	more	0.00456204379562	2192.0	1	0	0	0	0	0	0	0	0
supple	er	0.2	50.0	0	0	1	0	0	0	0	0	0
supple	more	0.8	50.0	0	0	0	0	0	0	0	0	0
sheer	er	0.454545454545	22.0	0	0	0	0	0	0	1	0	1
sheer	more	0.545454545455	22.0	1	0	0	0	0	1	0	0	0
muddy	er	0.947368421053	38.0	0	0	0	0	0	0	0	0	0
muddy	more	0.0526315789474	38.0	0	0	0	1	0	0	0	0	0
faint	er	0.975	840.0	0	0	0	0	0	0	0	1	1
faint	more	0.025	840.0	1	0	0	0	0	0	0	0	0
strict	er	0.939179632249	1414.0	0	0	0	0	0	0	0	1	1
strict	more	0.0608203677511	1414.0	1	0	0	0	0	0	0	0	0
flimsy	er	0.782608695652	23.0	0	0	0	0	0	0	0	0	0
flimsy	more	0.217391304348	23.0	0	0	0	1	0	0	0	0	0
coarse	er	0.952153110048	209.0	0	0	0	0	0	0	0	1	1
coarse	more	0.0478468899522	209.0	1	0	0	0	0	0	0	0	0
blonde	er	0.964285714286	84.0	0	0	0	0	0	0	0	1	1
blonde	more	0.0357142857143	84.0	1	0	0	0	0	0	0	0	0
bitter	er	0.025641025641	117.0	0	0	0	0	0	0	1	0	0
bitter	more	0.974358974359	117.0	0	0	0	0	0	1	0	0	0
abstract	er	0.00278551532033	359.0	0	0	0	0	0	0	0	1	1
abstract	more	0.99721448468	359.0	0	0	0	0	0	0	0	0	0
empty	er	0.66	150.0	0	0	0	0	0	0	0	0	0
empty	more	0.34	150.0	0	0	0	1	0	0	0	0	0
low	er	0.999421264898	55293.0	0	0	0	0	0	0	0	0	1
low	more	0.000578735102092	55293.0	1	0	0	0	0	0	0	0	0
clever	er	0.441988950276	181.0	0	0	0	0	0	0	1	0	0
clever	more	0.558011049724	181.0	0	0	0	0	0	1	0	0	0
rich	er	0.986115128724	3457.0	0	0	0	0	0	0	0	0	1
rich	more	0.0138848712757	3457.0	1	0	0	0	0	0	0	0	0
lush	er	0.602564102564	78.0	0	0	0	0	0	0	0	0	1
lush	more	0.397435897436	78.0	1	0	0	0	0	0	0	0	0
brisk	er	0.75	44.0	0	0	0	0	0	0	0	1	1
brisk	more	0.25	44.0	1	0	0	0	0	0	0	0	0
shallow	er	0.905063291139	474.0	0	0	0	0	0	0	0	0	0
shallow	more	0.0949367088608	474.0	0	0	0	0	0	0	0	0	0
loony	er	0.8	10.0	0	0	0	0	0	0	0	0	0
loony	more	0.2	10.0	0	0	0	1	0	0	0	0	0
sore	er	0.631578947368	19.0	0	0	0	0	0	0	1	0	1
sore	more	0.368421052632	19.0	1	0	0	0	0	1	0	0	0
warm	er	0.992274906766	3754.0	0	0	0	0	0	0	0	1	1
warm	more	0.00772509323388	3754.0	1	0	0	0	0	0	0	0	0
tense	er	0.205357142857	112.0	0	0	0	0	0	0	0	1	1
tense	more	0.794642857143	112.0	1	0	0	0	0	0	0	0	0
potent	er	0.00220264317181	454.0	0	0	0	0	0	0	0	1	0
potent	more	0.997797356828	454.0	0	0	0	0	0	0	0	0	0
olive	er	0.0975609756098	41.0	0	0	0	0	0	0	0	0	0
olive	more	0.90243902439	41.0	0	0	0	0	0	0	0	0	0
mellow	er	0.590062111801	161.0	0	0	0	0	0	0	0	0	0
mellow	more	0.409937888199	161.0	0	0	0	0	0	0	0	0	0
true	er	0.654335260116	865.0	0	0	0	0	0	0	0	0	1
true	more	0.345664739884	865.0	1	0	0	0	0	0	0	0	0
white	er	0.70253164557	632.0	0	0	0	0	0	0	0	0	1
white	more	0.29746835443	632.0	1	0	0	0	0	0	0	0	0
wide	er	0.997547767447	9787.0	0	0	0	0	0	0	0	0	1
wide	more	0.00245223255339	9787.0	1	0	0	0	0	0	0	0	0
wise	er	0.987586206897	1450.0	0	0	0	0	0	0	0	0	1
wise	more	0.0124137931034	1450.0	1	0	0	0	0	0	0	0	0
sly	er	0.384615384615	13.0	0	0	0	0	0	0	0	0	1
sly	more	0.615384615385	13.0	1	0	0	0	0	0	0	0	0
meek	er	0.989690721649	291.0	0	0	0	0	0	0	0	0	1
meek	more	0.0103092783505	291.0	1	0	0	0	0	0	0	0	0
raw	er	0.293333333333	75.0	0	0	0	0	0	0	0	0	1
raw	more	0.706666666667	75.0	1	0	0	0	0	0	0	0	0
plain	er	0.826923076923	104.0	0	0	0	0	0	0	0	0	1
plain	more	0.173076923077	104.0	1	0	0	0	0	0	0	0	0
smooth	er	0.991766467066	1336.0	0	0	0	0	0	0	0	0	1
smooth	more	0.00823353293413	1336.0	1	0	0	0	0	0	0	0	0
cruel	er	0.507936507937	126.0	0	0	1	0	0	0	0	0	0
cruel	more	0.492063492063	126.0	0	0	0	0	0	0	0	0	0
sour	er	0.3125	32.0	0	0	0	0	0	0	1	0	0
sour	more	0.6875	32.0	0	0	0	0	0	1	0	0	0
neat	er	0.951219512195	164.0	0	0	0	0	0	0	0	0	1
neat	more	0.0487804878049	164.0	1	0	0	0	0	0	0	0	0
thin	er	0.996887159533	2570.0	0	0	0	0	0	0	0	0	1
thin	more	0.00311284046693	2570.0	1	0	0	0	0	0	0	0	0
taut	er	0.527777777778	36.0	0	0	0	0	0	0	0	0	1
taut	more	0.472222222222	36.0	1	0	0	0	0	0	0	0	0
wild	er	0.97380952381	2520.0	0	0	0	0	0	0	0	1	1
wild	more	0.0261904761905	2520.0	1	0	0	0	0	0	0	0	0
dumb	er	0.961111111111	360.0	0	0	0	0	0	0	0	0	1
dumb	more	0.0388888888889	360.0	1	0	0	0	0	0	0	0	0
stale	er	0.785714285714	14.0	0	0	1	0	0	0	0	0	1
stale	more	0.214285714286	14.0	1	0	0	0	0	0	0	0	0
steep	er	0.993564993565	777.0	0	0	0	0	0	0	0	0	1
steep	more	0.00643500643501	777.0	1	0	0	0	0	0	0	0	0
false	er	0.0606060606061	33.0	0	0	0	0	0	0	0	1	1
false	more	0.939393939394	33.0	1	0	0	0	0	0	0	0	0
ripe	er	0.892561983471	121.0	0	0	0	0	0	0	0	0	1
ripe	more	0.107438016529	121.0	1	0	0	0	0	0	0	0	0
rowdy	er	0.75	44.0	0	0	0	0	0	0	0	0	0
rowdy	more	0.25	44.0	0	0	0	1	0	0	0	0	0
sincere	er	0.015873015873	63.0	0	0	0	0	0	0	1	0	1
sincere	more	0.984126984127	63.0	0	0	0	0	0	1	0	0	0
slim	er	0.993993993994	333.0	0	0	0	0	0	0	0	0	1
slim	more	0.00600600600601	333.0	1	0	0	0	0	0	0	0	0
tidy	er	0.958333333333	48.0	0	0	0	0	0	0	0	0	0
tidy	more	0.0416666666667	48.0	0	0	0	1	0	0	0	0	0
shrewd	er	0.792452830189	53.0	0	0	0	0	0	0	0	0	1
shrewd	more	0.207547169811	53.0	1	0	0	0	0	0	0	0	0
deep	er	0.996627514827	8599.0	0	0	0	0	0	0	0	0	1
deep	more	0.00337248517269	8599.0	1	0	0	0	0	0	0	0	0
sad	er	0.876595744681	470.0	0	0	0	0	0	0	0	0	1
sad	more	0.123404255319	470.0	1	0	0	0	0	0	0	0	0
tender	er	0.0526315789474	133.0	0	0	0	0	0	0	1	0	0
tender	more	0.947368421053	133.0	0	0	0	0	0	1	0	0	0
single	er	0.133333333333	45.0	0	0	1	0	0	0	0	0	0
single	more	0.866666666667	45.0	0	0	0	0	0	0	0	0	0
dizzy	er	0.9375	16.0	0	0	0	0	0	0	0	0	0
dizzy	more	0.0625	16.0	0	0	0	1	0	0	0	0	0
wet	er	0.91724137931	435.0	0	0	0	0	0	0	0	0	1
wet	more	0.0827586206897	435.0	1	0	0	0	0	0	0	0	0
blond	er	0.941860465116	86.0	0	0	0	0	0	0	0	1	1
blond	more	0.0581395348837	86.0	1	0	0	0	0	0	0	0	0
ready	er	0.210784313725	204.0	0	0	0	0	0	0	0	0	0
ready	more	0.789215686275	204.0	0	0	0	1	0	0	0	0	0
sharp	er	0.990952955368	1658.0	0	0	0	0	0	0	0	1	1
sharp	more	0.00904704463209	1658.0	1	0	0	0	0	0	0	0	0
complete	er	0.00676328502415	1035.0	0	0	0	0	0	0	0	0	1
complete	more	0.993236714976	1035.0	0	0	0	0	0	0	0	0	0
pink	er	0.747474747475	99.0	0	0	0	0	0	0	0	1	1
pink	more	0.252525252525	99.0	1	0	0	0	0	0	0	0	0
afraid	er	0.00358422939068	279.0	0	0	0	0	0	0	0	0	1
afraid	more	0.996415770609	279.0	0	0	0	0	0	0	0	0	0
lame	er	0.782608695652	23.0	0	0	0	0	0	0	0	0	1
lame	more	0.217391304348	23.0	1	0	0	0	0	0	0	0	0
pale	er	0.945031712474	473.0	0	0	1	0	0	0	0	0	1
pale	more	0.0549682875264	473.0	1	0	0	0	0	0	0	0	0
able	er	0.0597826086957	368.0	0	0	1	0	0	0	0	0	0
able	more	0.940217391304	368.0	0	0	0	0	0	0	0	0	0
moist	er	0.762886597938	97.0	0	0	0	0	0	0	0	1	1
moist	more	0.237113402062	97.0	1	0	0	0	0	0	0	0	0
strange	er	0.956546598056	1749.0	0	0	0	0	0	0	0	1	1
strange	more	0.043453401944	1749.0	1	0	0	0	0	0	0	0	0
sick	er	0.915547024952	521.0	0	0	0	0	0	0	0	0	1
sick	more	0.084452975048	521.0	1	0	0	0	0	0	0	0	0
frail	er	0.546666666667	75.0	0	0	1	0	0	0	0	0	1
frail	more	0.453333333333	75.0	1	0	0	0	0	0	0	0	0
silly	er	0.830508474576	118.0	0	0	0	0	1	0	0	0	0
silly	more	0.169491525424	118.0	0	0	0	1	0	0	0	0	0
bawdy	er	0.8	10.0	0	0	0	0	0	0	0	0	0
bawdy	more	0.2	10.0	0	0	0	1	0	0	0	0	0
blunt	er	0.331683168317	202.0	0	0	0	0	0	0	0	1	1
blunt	more	0.668316831683	202.0	1	0	0	0	0	0	0	0	0
nice	er	0.993898305085	1475.0	0	0	0	0	0	0	0	0	1
nice	more	0.00610169491525	1475.0	1	0	0	0	0	0	0	0	0
poor	er	0.982312065698	3166.0	0	0	0	0	0	0	1	0	1
poor	more	0.017687934302	3166.0	1	0	0	0	0	1	0	0	0
noble	er	0.629310344828	232.0	0	0	1	0	0	0	0	0	0
noble	more	0.370689655172	232.0	0	0	0	0	0	0	0	0	0
serene	er	0.0350877192982	57.0	0	0	0	0	0	0	0	0	1
serene	more	0.964912280702	57.0	0	0	0	0	0	0	0	0	0
sure	er	0.595419847328	262.0	0	0	0	0	0	0	1	0	1
sure	more	0.404580152672	262.0	1	0	0	0	0	1	0	0	0
rude	er	0.891891891892	74.0	0	0	0	0	0	0	0	0	1
rude	more	0.108108108108	74.0	1	0	0	0	0	0	0	0	0
deft	er	0.384615384615	13.0	0	0	0	0	0	0	0	1	1
deft	more	0.615384615385	13.0	1	0	0	0	0	0	0	0	0
bald	er	0.864864864865	37.0	0	0	0	0	0	0	0	1	1
bald	more	0.135135135135	37.0	1	0	0	0	0	0	0	0	0
polite	er	0.124031007752	129.0	0	0	0	0	0	0	0	0	1
polite	more	0.875968992248	129.0	0	0	0	0	0	0	0	0	0
alert	er	0.00460829493088	217.0	0	0	0	0	0	0	0	0	1
alert	more	0.995391705069	217.0	0	0	0	0	0	0	0	0	0
wrong	er	0.027027027027	148.0	0	0	0	0	0	0	0	0	1
wrong	more	0.972972972973	148.0	1	0	0	0	0	0	0	0	0
lax	er	0.270588235294	85.0	0	0	0	0	0	0	0	1	1
lax	more	0.729411764706	85.0	1	0	0	0	0	0	0	0	0
mad	er	0.875	272.0	0	0	0	0	0	0	0	0	1
mad	more	0.125	272.0	1	0	0	0	0	0	0	0	0
